MemberID,COUNT_TEMP,SEX,AGE,MARITAL_STATUS,CITY,DISTRICT,EDUCATION,ANNU_INCOME,PRIVATE_VEHICLE,COMMUTE,CHILDREN,DATE,MCC_CAT,AMOUNT,CARD_TYPE,PAYBY,MOBILE_PAYMENT,QUANTITY,AD_EXPO,AD_CLICK,AD_TIME
292,25,女,40,1,新北市,蘆洲區,大學,340000,0,1,2,1/1/2017,美妝保健,1729,玉璽卡,信用卡,0,1,0, , 
584,87,男,37,1,屏東縣,內埔鄉,其他,533448,1,1,1,1/1/2017,食品飲料,901, ,貨到付款, ,2,0, , 
523,163,女,37,1,台南市,安南區,大學,330000,1,1,0,1/1/2017,美妝保健,2977,玉璽卡,信用卡,1,1,0, , 
230,8,女,50,1,新北市,三重區,其他,605000,1,1,3,1/1/2017,美妝保健,974,小資卡,信用卡,0,4,0, , 
436,168,女,53,0,新北市,五股區,高中(職),600000,0,1, ,1/1/2017,生活百貨,4381,尊榮卡,信用卡,0,1,0, , 
584,87,男,37,1,屏東縣,內埔鄉,其他,533448,1,1,1,1/1/2017,食品飲料,1457, ,ATM轉帳, ,1,0, , 
436,168,女,53,0,新北市,五股區,高中(職),600000,0,1, ,1/1/2017,食品飲料,4249,簽帳金融卡,信用卡,1,5,1,1,9
237,194,女,52,1,台中市,西屯區,其他,558454,0,0,1,1/1/2017,服飾用品,601,玉璽卡,信用卡,0,3,0, , 
833,26,女,26,1,台北市,大安區,大學,400000,0,1,0,1/1/2017,美妝保健,1964,小資卡,信用卡,0,1,1,1,24
871,1,男,50,1,台中市,霧峰區,大學,670000,1,1,1,1/1/2017,生活百貨,957, ,ATM轉帳, ,2,1,0, 
330,35,女,35,1,桃園縣,楊梅市,其他,240000,0,1,1,1/1/2017,美妝保健,451, ,貨到付款, ,2,1,0, 
784,34,男,42,1,新北市,永和區,大學,450000,0,0,1,1/1/2017,美妝保健,1754,汽車卡,信用卡,0,2,0, , 
292,25,女,40,1,新北市,蘆洲區,大學,340000,0,1,2,1/1/2017,服飾用品,1799,簽帳金融卡,信用卡,0,2,0, , 
651,143,女,36,0,台北市,北投區,碩士以上,780000,0,1, ,1/1/2017,電器用品,4210,玉璽卡,信用卡,0,2,0, , 
584,87,男,37,1,屏東縣,內埔鄉,其他,533448,1,1,1,1/1/2017,食品飲料,597,汽車卡,信用卡,1,1,1,0, 
584,87,男,37,1,屏東縣,內埔鄉,其他,533448,1,1,1,1/1/2017,服飾用品,1759,玉璽卡,信用卡,0,1,0, , 
153,106,男,41,0,高雄市,岡山區,專科,586509,1,1, ,1/1/2017,食品飲料,946, ,貨到付款, ,1,0, , 
230,8,女,50,1,新北市,三重區,其他,605000,1,1,3,1/1/2017,教育娛樂,808, ,貨到付款, ,5,1,0, 
584,87,男,37,1,屏東縣,內埔鄉,其他,533448,1,1,1,1/1/2017,服飾用品,884, ,貨到付款, ,1,1,0, 
1002,143,女,35,1,台北市,文山區,其他,651958,0,1,0,1/1/2017,美妝保健,1896,簽帳金融卡,信用卡,0,1,0, , 
651,143,女,36,0,台北市,北投區,碩士以上,780000,0,1, ,1/1/2017,美妝保健,1810,玉璽卡,信用卡,0,2,1,0, 
78,22,男,31,0,新北市,淡水區,碩士以上,340000,1,1, ,1/1/2017,美妝保健,1775,玉璽卡,信用卡,1,1,0, , 
183,77,男,28,0,新北市,林口區,其他,635325,0,1, ,1/1/2017,教育娛樂,1907, ,ATM轉帳, ,2,1,0, 
993,57,女,36,1,新北市,汐止區,其他,681930,0,0,3,1/2/2017,美妝保健,2707,玉璽卡,信用卡,1,2,1,1,10
139,48,男,37,1,台中市,北屯區,專科,360000,1,1,1,1/2/2017,服飾用品,1961,簽帳金融卡,信用卡,0,3,1,0, 
626,143,男,41,1,新北市,蘆洲區,大學,730000,0,0,0,1/2/2017,食品飲料,1312, ,ATM轉帳, ,3,1,0, 
594,35,女,48,1,台北市,松山區,其他,644857,0,1,0,1/2/2017,美妝保健,1346,玉璽卡,信用卡,0,2,1,1,12
837,14,女,38,1,無資料,無資料,其他,521429,0,1,2,1/2/2017,美妝保健,948,簽帳金融卡,信用卡,0,1,1,1,8
